<<<<<<< HEAD
=======
id;first_name;last_name;email;telephone;user_id
1;Chelsey;Wyman;"ld5@\[.5z*";1-283-373-2680;1
2;Hayden;Walker;"Ff\%@XnJR1.8:";767-919-1749 x289;1
3;Augustus;Ferry;"i*'X(@Lk^|.m>";(385) 860-7724;1
4;August;Schaefer;"Zx@c9`i[.0$4";1-173-686-9016 x84585;2
5;Ocie;Klein;"3@fi.n";515.451.5182;2
6;Cleora;Rodriguez;"n[SL(@x~M/F.,Yn5'-";493-024-9604 x948;2
7;Danielle;Wolff;"%\2mT@L3.9vaA.#";271.067.2960;2
8;Clair;Wuckert;"v6S8@zWM``.uuq";(618) 754-9644 x9902;2
9;Bridie;Romaguera;"$mWE@'E,x|.Uk";477-787-1599 x02470;2
10;Peggie;Sipes;"WeVMJ@d05p.*D_h";642-260-5789 x54116;1
>>>>>>> jhipster_upgrade
